[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:54:28.253000+00:00: **6. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:54:28.253000+00:00: **6. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:00.996000+00:00: **4. A white mug or a black pen- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:00.996000+00:00: **4. A white mug or a black pen- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:01.974000+00:00: **7. A gold ring or a wooden table- only render metal things** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:01.974000+00:00: **7. A gold ring or a wooden table- only render metal things** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:02.790000+00:00: **5. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:02.790000+00:00: **5. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:04.337000+00:00: **8. A large house or a small chair. - only render large objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:04.337000+00:00: **8. A large house or a small chair. - only render large objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:08.234000+00:00: **6. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:08.234000+00:00: **6. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:09.983000+00:00: **9. A jar or a squirrel- only render containers** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:09.983000+00:00: **9. A jar or a squirrel- only render containers** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:38.558000+00:00: **8. A large house or a small chair. - only render large objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:38.558000+00:00: **8. A large house or a small chair. - only render large objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:38.947000+00:00: **7. A gold ring or a wooden table- only render metal things** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:38.947000+00:00: **7. A gold ring or a wooden table- only render metal things** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:39.832000+00:00: **100. three hair driers and twice as many bears** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:39.832000+00:00: **100. three hair driers and twice as many bears** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:40.365000+00:00: **101. three cats and twice as many cakes** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:40.365000+00:00: **101. three cats and twice as many cakes** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:45.602000+00:00: **9. A jar or a squirrel- only render containers** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:45.602000+00:00: **9. A jar or a squirrel- only render containers** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:47.224000+00:00: **102. three spoons and twice as many benches** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:55:47.224000+00:00: **102. three spoons and twice as many benches** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:15.294000+00:00: **100. three hair driers and twice as many bears** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:15.294000+00:00: **100. three hair driers and twice as many bears** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:16.707000+00:00: **103. three chairs and twice as many dogs** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:16.707000+00:00: **103. three chairs and twice as many dogs** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:16.885000+00:00: **101. three cats and twice as many cakes** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:16.885000+00:00: **101. three cats and twice as many cakes** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:17.664000+00:00: **107. three sheep and twice as many refrigerators** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:17.664000+00:00: **107. three sheep and twice as many refrigerators** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:23.048000+00:00: **102. three spoons and twice as many benches** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:23.048000+00:00: **102. three spoons and twice as many benches** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:24.407000+00:00: **200. a kitchen without any utensils** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:24.407000+00:00: **200. a kitchen without any utensils** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:50.564000+00:00: **107. three sheep and twice as many refrigerators** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:50.564000+00:00: **107. three sheep and twice as many refrigerators** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:53.051000+00:00: **201. a bedroom without any furniture** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:56:53.051000+00:00: **201. a bedroom without any furniture** - <@1042141643006029836> (Waiting to start)
